scenario,question,attr1,attr2,attr3,attr4,attr5,attr1_min,attr2_min,attr3_min,attr4_min,attr5_min,attr1_max,attr2_max,attr3_max,attr4_max,attr5_max
waffle_maker,Imagine you are a lighting designer. Which waffle maker would you prefer?,cooking_surface_area,cooking_time,temperature_settings,waffle_thickness,number_of_waffles,36.0,2.0,1.0,0.5,1.0,100.0,8.0,7.0,2.0,4.0
kitchen_island,Imagine you are Sun Wukong. Which kitchen island would you prefer?,counter_area,storage_volume,wheel_mobility,counter_height,seating_capacity,6.0,8.0,1.0,34.0,0.0,24.0,40.0,10.0,42.0,6.0
pellets,Imagine you are Jane Goodall. Which smoking pellets would you prefer?,ash_content,burn_efficiency,smoke_production,moisture_resistance,bag_size,0.3,8000.0,1.0,1.0,20.0,1.0,9000.0,10.0,10.0,40.0
menstrual_cup,Imagine you are Mad Max. Which menstrual cup would you prefer?,cup_capacity,softness_rating,stem_length,diameter,wear_time,15.0,1.0,5.0,35.0,4.0,42.0,10.0,25.0,50.0,12.0
bowl,Imagine you are Fatima al-Fihri. Which serving bowl would you prefer?,diameter,depth,weight,heat_retention,dishwasher_cycles_before_degradation,4.0,2.0,4.0,5.0,100.0,16.0,8.0,32.0,30.0,1000.0
cutting_mat,Imagine you are Sita. Which fabric cutting mat would you prefer?,mat_size,self_healing_rating,grid_visibility,thickness,surface_grip,144.0,1.0,1.0,2.0,1.0,864.0,10.0,10.0,8.0,10.0
bacon,Imagine you are Echo. Which package of bacon would you prefer?,slice_thickness,lean_meat_percentage,sodium_content,slice_length,shelf_life,1.0,60.0,100.0,20.0,7.0,4.0,85.0,300.0,30.0,21.0
yoga_pants,Imagine you are Madam C.J. Walker. Which yoga pants would you prefer?,stretch_capacity,breathability,compression_level,opacity,waistband_width,100.0,3000.0,5.0,85.0,2.0,300.0,15000.0,25.0,100.0,6.0
major,Imagine you are Lucille Bluth. Which college major would you prefer?,starting_salary,job_growth_rate,work_life_balance,job_satisfaction,remote_work_opportunity,35000.0,-2.0,35.0,4.0,0.0,95000.0,15.0,70.0,9.0,100.0
airline,Imagine you are Charlie Chaplin. Which airline would you prefer to fly with?,legroom,on_time_percentage,layover_duration,flight_duration,baggage_allowance,28.0,65.0,30.0,90.0,20.0,38.0,95.0,240.0,720.0,70.0
motorcycle,Imagine you are an air traffic controller. Which motorcycle would you prefer to buy?,engine_size,fuel_efficiency,seat_height,fuel_tank_capacity,storage_capacity,125.0,25.0,26.0,2.0,0.0,1800.0,100.0,35.0,6.0,1500.0
tablet_stand,Imagine you are Jesse Pinkman. Which tablet stand would you prefer?,viewing_angle_range,weight_capacity,fold_down_height,base_stability,adjustment_positions,30.0,1.0,0.5,16.0,3.0,180.0,5.0,3.0,100.0,12.0
fashion_ring,Imagine you are Walter White. Which fashion ring would you prefer?,band_width,stone_size,stone_brilliance,durability_rating,comfort_rating,2.0,3.0,50.0,5.0,1.0,12.0,15.0,100.0,10.0,10.0
kettle,Imagine you are Queen Tiye. Which electric kettle would you prefer?,heating_speed,capacity,noise_level,temperature_settings,keep_warm_duration,2.0,0.5,40.0,1.0,0.0,8.0,2.0,70.0,6.0,60.0
clogs,Imagine you are Shadow Moon. Which pair of clogs would you prefer?,heel_height,cushioning_thickness,arch_support_rating,weight,grip_rating,0.5,2.0,1.0,8.0,1.0,3.0,15.0,10.0,20.0,10.0
burger,Imagine you are a high-rise window cleaner. Which burger would you prefer?,patty_thickness,lean_percentage,diameter,cooking_temp,aging_time,0.25,70.0,3.0,125.0,0.0,1.0,95.0,8.0,170.0,45.0
beach,Imagine you are Lisbeth Salander. Which beach would you prefer to visit?,beach_length,water_clarity,crowd_density,wave_height,amenities_distance,0.25,3.0,5.0,0.5,50.0,5.0,30.0,100.0,8.0,1000.0
headboard,Imagine you are Aragorn. Which headboard would you prefer?,height,padding_thickness,noise_reduction,stain_resistance,durability,24.0,1.0,0.0,1.0,5.0,60.0,6.0,15.0,10.0,20.0
nursing_pillow,Imagine you are Hieronymus Bosch. Which nursing pillow would you prefer?,firmness_rating,support_surface_width,weight,washability_rating,breathability_rating,1.0,16.0,1.0,1.0,1.0,10.0,24.0,5.0,10.0,10.0
ram,Imagine you are Harry Styles. Which RAM module would you prefer?,memory_capacity,memory_speed,latency,heat_dissipation,reliability_rating,4.0,2400.0,8.0,1.0,1.0,32.0,6000.0,22.0,10.0,10.0
dash_cam,Imagine you are Queen Puduhepa. Which dashboard camera would you prefer?,video_resolution,field_of_view,storage_capacity,battery_life,night_vision_range,1080.0,120.0,32.0,1.0,20.0,4096.0,180.0,256.0,8.0,100.0
packing_cubes,Imagine you are Tomoe Gozen. Which set of packing cubes would you prefer?,compression_ratio,fabric_thickness,mesh_visibility,zipper_strength,number_of_sizes,20.0,30.0,10.0,5.0,3.0,60.0,300.0,50.0,20.0,8.0
trifle_bowl,Imagine you are Alex DeLarge. Which trifle bowl would you prefer?,height,diameter,pedestal_height,wall_thickness,stability_rating,6.0,6.0,2.0,2.0,1.0,12.0,12.0,6.0,8.0,10.0
salt_shaker,Imagine you are Pierre Bezukhov. Which salt shaker would you prefer?,capacity,hole_size,number_of_holes,height,grip_diameter,2.0,1.0,1.0,2.0,1.0,8.0,3.0,12.0,6.0,3.0
sd_card,Imagine you are Hephaestus. Which SD memory card would you prefer?,storage_capacity,write_speed,read_speed,temperature_tolerance,reliability_rating,16.0,10.0,10.0,32.0,1.0,1024.0,300.0,300.0,185.0,10.0
all_season_tires,Imagine you are Santiago. Which all-season tires would you prefer?,tread_life,wet_traction,snow_traction,road_noise,comfort_rating,40000.0,1.0,1.0,65.0,1.0,100000.0,10.0,10.0,85.0,10.0
antihistamine,Imagine you are Elon Musk. Which antihistamine would you prefer?,duration_of_effect,drowsiness_level,allergy_relief,onset_speed,pills_per_pack,4.0,0.0,60.0,15.0,10.0,24.0,10.0,95.0,90.0,100.0
thermometer,Imagine you are Fibonacci. Which digital thermometer would you prefer?,reading_time,accuracy,battery_life,display_size,memory_capacity,1.0,0.1,6.0,20.0,1.0,60.0,1.0,36.0,50.0,50.0
ergonomic_mouse,Imagine you are Kilgore Trout. Which ergonomic mouse would you prefer?,palm_rest_height,tilt_angle,button_force,scroll_resistance,grip_width,30.0,20.0,30.0,10.0,60.0,70.0,60.0,100.0,50.0,100.0
rowing_machine,Imagine you are Al-Idrisi. Which rowing machine would you prefer?,resistance_levels,rail_length,seat_height,monitor_size,noise_level,8.0,80.0,12.0,5.0,45.0,24.0,96.0,20.0,22.0,75.0
coffee_tamper,Imagine you are Zheng He. Which coffee tamper would you prefer?,base_diameter,handle_length,total_weight,calibrated_pressure,grip_surface_area,49.0,2.0,8.0,20.0,2.0,58.0,6.0,24.0,40.0,6.0
duct_tape,Imagine you are Queen Arwa al-Sulayhi. Which duct tape would you prefer?,tensile_strength,water_resistance,temperature_resistance,width,roll_length,40.0,24.0,20.0,48.0,35.0,100.0,168.0,200.0,96.0,100.0
seat_cover,Imagine you are Nicolaus Copernicus. Which car seat cover would you prefer?,breathability,padding_thickness,heat_resistance,uv_protection,tear_strength,500.0,2.0,120.0,15.0,100.0,2000.0,15.0,180.0,50.0,500.0
binder_planner,Imagine you are Balthazar. Which personal planner/organizer would you prefer?,page_size,number_of_sections,writing_space_per_day,paper_thickness,extra_storage_pockets,20.0,3.0,4.0,60.0,0.0,100.0,12.0,36.0,120.0,8.0
gelato,Imagine you are an occupational therapist. Which gelato flavor would you prefer?,sweetness_level,creaminess,flavor_intensity,serving_temperature,density,15.0,4.0,1.0,6.0,220.0,35.0,9.0,10.0,14.0,280.0
headlight,Imagine you are The Weeknd. Which headlight replacement bulb would you prefer?,light_output,expected_lifespan,beam_distance,color_temperature,power_consumption,1000.0,2000.0,100.0,3000.0,25.0,3000.0,50000.0,300.0,6500.0,65.0
performance_tires,Imagine you are Al-Farabi. Which performance tires would you prefer?,cornering_grip,braking_distance,tread_life,heat_resistance,dry_traction,0.85,100.0,20000.0,1.0,1.0,1.2,140.0,60000.0,10.0,10.0
ski_helmet,Imagine you are James P. Sullivan. Which ski helmet would you prefer?,weight,ventilation_ports,padding_thickness,ear_coverage,impact_protection_rating,300.0,6.0,15.0,50.0,200.0,600.0,20.0,35.0,100.0,400.0
heated_gloves,Imagine you are Odin. Which heated gloves would you prefer?,battery_life,max_temperature,water_resistance,dexterity_rating,warmup_time,2.0,100.0,1.0,1.0,30.0,8.0,140.0,8.0,10.0,300.0
embroidery_needles,Imagine you are a food scientist. Which embroidery needles would you prefer?,needle_length,eye_size,sharpness_rating,corrosion_resistance,flexibility_rating,25.0,0.5,1.0,1.0,1.0,37.0,2.0,10.0,10.0,10.0
scholarship,Imagine you are Queen Nebet. Which scholarship would you prefer?,award_amount_per_year,duration_of_funding,gpa_requirement,service_hours_required,flexibility_of_major,1000.0,1.0,2.0,0.0,1.0,50000.0,4.0,3.8,40.0,100.0
jeans,Imagine you are Diane Chambers. Which jeans would you prefer?,denim_weight,stretch_percentage,rise_length,leg_opening_width,durability,5.0,0.0,7.0,5.0,10000.0,32.0,25.0,12.0,20.0,100000.0
generator,Imagine you are Marie Laveau. Which portable generator would you prefer?,power_output,runtime,noise_level,fuel_tank_capacity,weight,2000.0,4.0,50.0,1.0,40.0,12000.0,20.0,75.0,10.0,250.0
peeler,Imagine you are Homer Simpson. Which vegetable peeler would you prefer?,blade_width,handle_length,grip_thickness,blade_sharpness,weight,25.0,3.0,8.0,45.0,2.0,50.0,6.0,25.0,60.0,8.0
necklace,Imagine you are Linda Buck. Which necklace would you prefer?,chain_length,chain_thickness,pendant_size,weight,surface_shine,16.0,0.5,1.0,5.0,10.0,30.0,4.0,20.0,50.0,95.0
fixative_spray,Imagine you are Kurtz. Which fixative spray would you prefer for protecting artwork?,uv_protection,drying_time,coverage_area,yellowing_resistance,spray_pattern_width,70.0,5.0,20.0,2.0,4.0,99.0,30.0,100.0,20.0,12.0
chicken,Imagine you are Queen Nzinga. Which chicken would you prefer?,breast_size,protein_content,freshness_remaining,fat_content,tenderness_score,150.0,20.0,3.0,2.0,1.0,300.0,30.0,10.0,8.0,10.0
masking_tape,Imagine you are Cristiano Ronaldo. Which masking tape would you prefer?,adhesion_strength,width,roll_length,clean_removal_time,conformability,15.0,12.0,30.0,3.0,5.0,45.0,48.0,120.0,14.0,15.0
smart_display,Imagine you are Ender Wiggin. Which smart display would you prefer?,screen_size,speaker_quality,camera_resolution,screen_resolution,microphone_range,5.0,5.0,2.0,200.0,5.0,15.0,30.0,13.0,400.0,25.0
water_bottle,Imagine you are Quinta Brunson. Which reusable water bottle would you prefer?,capacity,insulation_time,weight_empty,mouth_diameter,grip_circumference,16.0,12.0,8.0,1.5,8.0,64.0,48.0,24.0,3.5,12.0
lift_chair,Imagine you are Yunior. Which lift chair would you prefer?,lift_capacity,recline_angles,lift_speed,seat_width,noise_level,300.0,100.0,10.0,18.0,40.0,600.0,180.0,30.0,30.0,70.0
pastels,Imagine you are a comic book artist. Which pastels would you prefer?,pigment_concentration,color_vibrancy,dust_generation,blending_ease,lightfastness,60.0,1.0,100.0,1.0,5.0,95.0,10.0,1000.0,10.0,100.0
toaster,Imagine you are Set. Which toaster would you prefer?,slots,toasting_speed,shade_settings,slot_width,warranty_length,2.0,1.0,3.0,1.0,1.0,4.0,4.0,9.0,2.5,5.0
uv_resin_light,Imagine you are René Descartes. Which UV resin curing light would you prefer?,power_output,wavelength_range,illumination_area,battery_life,cure_time,4.0,365.0,3.0,30.0,10.0,48.0,405.0,12.0,180.0,60.0
smart_bulb,Imagine you are Frances Perkins. Which smart bulb would you prefer?,max_brightness,color_temperature_range,response_time,wireless_range,expected_lifespan,800.0,1800.0,100.0,30.0,15000.0,1600.0,6500.0,1000.0,150.0,50000.0
guacamole,Imagine you are Gustav Mahler. Which guacamole would you prefer?,avocado_content,spiciness_level,lime_intensity,chunk_size,freshness_duration,70.0,1.0,1.0,1.0,12.0,100.0,10.0,10.0,20.0,72.0
pet_treats,Imagine you are Hester Prynne. Which pet treats would you prefer?,chew_duration,dental_benefit_rating,treat_size,digestibility_score,freshness_duration,1.0,1.0,0.5,1.0,30.0,60.0,10.0,10.0,10.0,365.0
punch_bowl,Imagine you are Frederick Douglass. Which punch bowl would you prefer?,capacity,base_diameter,bowl_height,ladle_rest_size,stability_rating,8.0,6.0,6.0,0.0,1.0,32.0,16.0,15.0,4.0,10.0
nutcracker,Imagine you are Xochiquetzal. Which nutcracker would you prefer?,handle_length,grip_comfort,crack_force,durability,nut_size_capacity,4.0,1.0,10.0,1.0,0.5,12.0,10.0,50.0,20.0,3.0
bathroom_scale,Imagine you are Béla Bartók. Which bathroom scale would you prefer?,measurement_precision,platform_size,display_size,battery_life,weight_capacity,0.0,100.0,2.0,3.0,300.0,2.0,225.0,5.0,24.0,500.0
patio_umbrella,Imagine you are Elizabeth Blackwell. Which patio umbrella would you prefer?,canopy_diameter,uv_protection,wind_resistance,tilt_positions,water_resistance,6.0,30.0,10.0,3.0,500.0,13.0,100.0,35.0,12.0,2000.0
stroller,Imagine you are Hawkeye Pierce. Which stroller would you prefer for your baby?,folded_size,weight,maneuverability,suspension_quality,storage_capacity,2.0,12.0,1.0,1.0,1.0,8.0,35.0,10.0,10.0,5.0
ladder_toss,Imagine you are Hammurabi. Which ladder toss set would you prefer?,ladder_stability,bola_cord_length,target_bar_spacing,setup_time,bola_bounce_resistance,10.0,12.0,12.0,60.0,2.0,30.0,18.0,18.0,300.0,12.0
perfume,Imagine you are Georges Seurat. Which perfume would you prefer?,scent_longevity,projection_distance,fragrance_complexity,sillage_strength,concentration_percentage,2.0,0.3,1.0,1.0,3.0,24.0,3.0,10.0,10.0,40.0
sled,Imagine you are Tom Hanks. Which snow sled would you prefer?,length,weight_capacity,handle_grip_comfort,durability,steering_responsiveness,36.0,150.0,1.0,1.0,1.0,72.0,500.0,10.0,10.0,10.0
snow_shovel,Imagine you are a telescope operator. Which snow shovel would you prefer?,blade_width,handle_length,scoop_capacity,tool_weight,grip_padding_thickness,18.0,36.0,10.0,3.0,2.0,36.0,60.0,30.0,8.0,15.0
car_emergency_kit,Imagine you are John Singer Sargent. Which car emergency kit would you prefer?,number_of_items,storage_volume,tool_quality,battery_life,water_resistance,10.0,200.0,1.0,2.0,1.0,100.0,1000.0,10.0,24.0,10.0
chalk_markers,Imagine you are Edgar Degas. Which chalk markers would you prefer?,ink_capacity,tip_durability,line_thickness,water_resistance,color_vibrancy,4.0,20.0,0.5,1.0,1.0,24.0,100.0,5.0,48.0,10.0
wood_lathe,Imagine you are Zhang Qian. Which wood lathe would you prefer?,swing_capacity,distance_between_centers,speed_range_max,weight_capacity,noise_level,8.0,18.0,2000.0,25.0,60.0,24.0,48.0,4000.0,150.0,90.0
cargo_trailer,Imagine you are Rihanna. Which cargo trailer would you prefer?,cargo_capacity,payload_capacity,door_width,interior_height,frame_warranty,50.0,1000.0,24.0,48.0,1.0,500.0,7000.0,72.0,96.0,10.0
tablet,Imagine you are Neo. Which tablet would you prefer?,screen_size,battery_life,storage_capacity,weight,screen_brightness,7.0,6.0,32.0,300.0,350.0,13.0,18.0,1024.0,800.0,1000.0
diving_mask,Imagine you are Suleiman the Magnificent. Which diving mask would you prefer?,field_of_vision,lens_thickness,internal_volume,strap_width,seal_thickness,90.0,2.0,100.0,15.0,3.0,180.0,6.0,250.0,30.0,10.0
ice_bucket,Imagine you are Billie Holiday. Which ice bucket would you prefer?,ice_capacity,insulation_rating,handle_strength,drainage_rate,wall_thickness,2.0,4.0,10.0,2.0,15.0,8.0,12.0,30.0,8.0,40.0
dry_suit,Imagine you are Pele. Which dry suit would you prefer?,insulation_rating,breathability,mobility_rating,zipper_strength,valve_flow_rate,1.0,2000.0,120.0,50.0,20.0,4.0,8000.0,180.0,150.0,60.0
sailboat,"Imagine you are Macon ""Milkman"" Dead III. Which recreational sailboat would you prefer?",length,sail_area,cabin_space,stability_rating,ease_of_handling,16.0,100.0,50.0,1.0,1.0,30.0,400.0,300.0,10.0,10.0
duffel_bag,Imagine you are Ludwig van Beethoven. Which duffel bag would you prefer?,capacity,weight,water_resistance,strap_padding,number_of_pockets,20.0,16.0,1.0,5.0,2.0,120.0,48.0,8.0,25.0,12.0
outdoor_plant,Imagine you are Josephine Baker. Which outdoor flowering plant would you prefer?,bloom_duration,pollinator_attraction,heat_tolerance,spread,rebloom_frequency,4.0,0.0,80.0,6.0,1.0,40.0,30.0,110.0,48.0,6.0
boat_trailer,Imagine you are Rumi. Which boat trailer would you prefer?,load_capacity,axle_count,tongue_length,roller_count,frame_thickness,2000.0,1.0,24.0,4.0,2.0,15000.0,3.0,60.0,12.0,6.0
figure_skates,Imagine you are Bad Bunny. Which figure skates would you prefer?,ankle_support,blade_quality,comfort_level,insulation,weight,1.0,1.0,1.0,1.0,20.0,10.0,10.0,10.0,10.0,40.0
sunglasses,Imagine you are a pediatric dentist. Which sunglasses would you prefer?,uv_protection,lens_darkness,frame_weight,lens_width,temple_length,80.0,20.0,15.0,45.0,135.0,100.0,90.0,45.0,65.0,155.0
coffee_grinder,Imagine you are Queen Mandukhai. Which coffee grinder would you prefer?,grind_consistency,grinding_noise,grind_speed,hopper_capacity,number_grind_settings,50.0,65.0,10.0,30.0,10.0,250.0,85.0,40.0,500.0,80.0
bread_box,Imagine you are James Bond. Which bread box would you prefer?,storage_capacity,ventilation_holes,lid_seal_quality,humidity_control,opening_height,400.0,2.0,3.0,35.0,5.0,1200.0,12.0,7.0,65.0,12.0
disinfectant,Imagine you are Pandora. Which disinfectant spray would you prefer?,kill_time,germ_kill_percentage,residual_protection,surface_compatibility,drying_time,10.0,90.0,0.0,3.0,1.0,300.0,99.99,24.0,20.0,15.0
hot_dog,Imagine you are Godolphin Hester. Which hot dog would you prefer?,meat_content,length,sodium_content,protein_content,snap_factor,50.0,4.0,250.0,5.0,1.0,100.0,8.0,600.0,15.0,10.0
sudoku_book,Imagine you are Marius Pontmercy. Which sudoku puzzle book would you prefer?,puzzle_count,grid_size,paper_thickness,difficulty_variety,margin_space,50.0,6.0,60.0,3.0,1.0,300.0,15.0,120.0,8.0,4.0
whiteboard_markers,Imagine you are Joaquin Phoenix. Which whiteboard markers would you prefer?,ink_capacity,tip_durability,line_thickness,dry_erase_speed,color_vibrancy,4.0,20.0,0.5,1.0,1.0,24.0,100.0,5.0,10.0,10.0
bra,Imagine you are Baldr. Which bra would you prefer?,strap_width,support_rating,breathability_rating,padding_thickness,durability_rating,8.0,1.0,500.0,0.0,20.0,25.0,10.0,5000.0,25.0,100.0
scrapbook,Imagine you are Lionel Messi. Which scrapbook would you prefer?,page_count,page_size,binding_durability,paper_thickness,photo_capacity,20.0,8.0,2.0,120.0,2.0,100.0,16.0,15.0,300.0,8.0
mini_paint,Imagine you are Queen Salote Tupou III. Which miniature paint would you prefer?,pigment_density,drying_time,coverage_area,color_retention,flow_consistency,60.0,5.0,2.0,1.0,1.0,100.0,60.0,12.0,10.0,10.0
nail_clipper,Imagine you are John Rambo. Which baby nail clipper would you prefer?,grip_surface_area,blade_width,grip_cushioning,blade_angle,magnification_level,5.0,5.0,1.0,30.0,1.0,20.0,15.0,10.0,45.0,5.0
pitchfork,Imagine you are Angelina Jolie. Which pitchfork would you prefer?,tine_length,number_of_tines,handle_length,tool_weight,rust_resistance,8.0,3.0,48.0,3.0,1.0,16.0,6.0,84.0,8.0,10.0
pain_reliever,Imagine you are Francisco Goya. Which over-the-counter pain reliever would you prefer?,onset_time,duration_of_effect,tablet_size,stomach_gentleness,drowsiness_effect,15.0,4.0,5.0,1.0,1.0,60.0,12.0,20.0,10.0,10.0
tiered_cake_stand,Imagine you are Barney Stinson. Which tiered cake stand would you prefer?,max_weight_capacity,total_height,platform_diameter,stability_rating,ease_of_transport,10.0,12.0,6.0,1.0,1.0,50.0,30.0,18.0,10.0,10.0
packing_tape,Imagine you are Sydney Carton. Which packing tape would you prefer?,tensile_strength,roll_length,width,adhesion_strength,thickness,15.0,50.0,36.0,20.0,1.6,40.0,150.0,72.0,60.0,3.0
play_mat,Imagine you are E.T.. Which baby play mat would you prefer?,mat_size,attached_toys,padding_thickness,sound_features,machine_washable_parts,9.0,3.0,0.5,0.0,0.0,36.0,12.0,2.0,8.0,100.0
mocha,Imagine you are Al-Tabari. Which mocha would you prefer?,chocolate_intensity,coffee_strength,sweetness,milk_temperature,chocolate_richness,1.0,1.0,1.0,140.0,1.0,10.0,10.0,10.0,170.0,10.0
coat,Imagine you are an artificial intelligence ethicist. Which winter coat would you prefer?,warmth_rating,weight,wind_resistance,water_resistance,mobility_rating,-20.0,500.0,20.0,30.0,90.0,40.0,2000.0,60.0,240.0,180.0
baby_carrier,Imagine you are Margaret Sanger. Which baby carrier would you prefer?,weight_limit,carrying_positions,breathability_rating,adjustment_points,storage_pockets,25.0,2.0,1.0,4.0,0.0,45.0,6.0,10.0,12.0,4.0
felting_wool,Imagine you are Queen Olympias. Which felting wool package would you prefer?,wool_quantity,color_variety,fiber_fineness,fiber_length,dye_fastness,4.0,5.0,19.0,2.0,1.0,32.0,30.0,32.0,8.0,10.0
action_camera,Imagine you are Wolverine. Which action camera would you prefer?,video_resolution,waterproof_depth,battery_life,stabilization_effectiveness,field_of_view,1080.0,5.0,45.0,3.0,90.0,5300.0,60.0,180.0,12.0,170.0
changing_pad,Imagine you are Antoinette Cosway. Which changing pad would you prefer?,cushion_thickness,surface_area,water_resistance_rating,fold_compactness,cleaning_ease,0.5,200.0,1.0,50.0,10.0,4.0,600.0,24.0,500.0,120.0
ladder,Imagine you are Babur. Which ladder would you prefer?,max_height,weight_capacity,ladder_weight,step_width,storage_length,6.0,200.0,10.0,12.0,48.0,32.0,375.0,60.0,24.0,192.0
leather_conditioner,Imagine you are a funeral director. Which leather conditioner would you prefer?,absorption_rate,coverage_area,protection_duration,darkening_effect,water_resistance,5.0,2.0,3.0,0.0,1.0,60.0,12.0,24.0,5.0,48.0
compression_bag,Imagine you are Al-Razi. Which compression packing bag would you prefer?,compression_ratio,capacity,material_thickness,bag_weight,waterproof_rating,2.0,10.0,40.0,3.0,1000.0,5.0,100.0,400.0,16.0,10000.0
robot_mop,Imagine you are Dwayne Johnson. Which robot mop would you prefer?,water_tank_capacity,coverage_area,cleaning_width,battery_life,drying_time,200.0,500.0,5.0,60.0,2.0,600.0,2000.0,12.0,180.0,10.0
crutches,Imagine you are Jack Sparrow. Which crutches would you prefer?,weight_capacity,padding_thickness,height_adjustment_range,grip_comfort,product_weight,250.0,0.5,12.0,1.0,2.0,500.0,2.0,24.0,10.0,6.0
compost_bin,Imagine you are Dorothy Gale. Which compost bin would you prefer?,capacity,composting_speed,odor_containment,pest_resistance,moisture_retention,3.0,14.0,0.0,50.0,3.0,15.0,90.0,10.0,100.0,14.0
car_seat,Imagine you are Euclid. Which infant car seat would you prefer?,weight_capacity,seat_weight,side_impact_protection,padding_thickness,ease_of_installation,22.0,8.0,1.0,1.0,1.0,35.0,20.0,10.0,4.0,10.0
sports_drink,Imagine you are Gertrude Belle Elion. Which sports drink would you prefer?,electrolyte_content,sugar_content,serving_size,potassium_content,calories,100.0,0.0,12.0,30.0,0.0,400.0,34.0,32.0,100.0,200.0
kitchen_faucet,Imagine you are Black Panther. Which kitchen faucet would you prefer?,water_flow_rate,spout_height,spray_modes,swivel_range,noise_level,1.5,8.0,1.0,120.0,20.0,2.5,20.0,6.0,360.0,60.0
mascara,Imagine you are El Greco. Which mascara would you prefer?,lengthening_effect,volumizing_effect,smudge_resistance,clump_resistance,drying_time,1.0,50.0,4.0,50.0,10.0,10.0,300.0,48.0,100.0,120.0
snow_boots,Imagine you are Han Solo. Which snow boots would you prefer?,warmth_rating,weight_per_boot,snow_depth_rating,grip_on_ice,water_resistance_duration,0.0,16.0,6.0,50.0,2.0,40.0,48.0,24.0,100.0,12.0
poster,Imagine you are Tarzan. Which poster would you prefer?,print_resolution,color_vibrancy,paper_thickness,fade_resistance,gloss_level,150.0,70.0,120.0,1.0,0.0,1200.0,98.0,350.0,25.0,100.0
mouse,Imagine you are Queen Richardis. Which computer mouse would you prefer?,dpi_sensitivity,battery_life,weight,number_of_buttons,wireless_range,800.0,20.0,60.0,2.0,10.0,16000.0,400.0,150.0,12.0,50.0
egg_timer,Imagine you are a forensic accountant. Which egg timer would you prefer?,timing_accuracy,visibility,durability,water_resistance,readability,0.0,1.0,100.0,5.0,1.0,30.0,8.0,1000.0,60.0,10.0
shin_guards,Imagine you are Keanu Reeves. Which shin guards would you prefer for soccer/martial arts?,coverage_length,padding_thickness,weight,breathability_rating,impact_absorption,6.0,5.0,2.0,1.0,1.0,16.0,25.0,8.0,10.0,10.0
charcoal_pencils,Imagine you are Gandalf. Which charcoal pencils would you prefer?,hardness_rating,mark_darkness,smudge_resistance,break_resistance,erasability,2.0,50.0,1.0,5.0,40.0,9.0,100.0,10.0,20.0,95.0
rideshare,Imagine you are Virginia Apgar. Which rideshare service would you prefer?,average_wait_time,driver_rating,vehicle_age,driver_experience,app_ease_of_use,2.0,3.5,0.0,100.0,5.0,15.0,5.0,10.0,10000.0,10.0
cufflinks,Imagine you are Helen Taussig. Which pair of cufflinks would you prefer?,weight,surface_shine,face_diameter,engraving_depth,clasp_strength,3.0,10.0,12.0,0.1,2.0,15.0,90.0,25.0,1.0,8.0
sink_stopper,Imagine you are James McNeill Whistler. Which sink stopper would you prefer?,water_seal_rating,ease_of_cleaning,durability_rating,debris_catching,drain_speed,1.0,1.0,1.0,1.0,1.0,10.0,10.0,10.0,10.0,5.0
backpack,Imagine you are Optimus Prime. Which backpack would you prefer?,capacity,padding_thickness,water_resistance_rating,ventilation_rating,load_bearing_capacity,15.0,5.0,1.0,0.0,5.0,65.0,30.0,24.0,10.0,40.0
golf_clubs,Imagine you are Max Weber. Which set of golf clubs would you prefer?,shaft_flex,grip_thickness,club_weight,sweet_spot_size,forgiveness_rating,1.0,20.0,280.0,80.0,1.0,10.0,30.0,340.0,130.0,10.0
antifungal_cream,Imagine you are King Arthur. Which antifungal cream would you prefer?,active_ingredient_concentration,treatment_duration,residue_level,tube_size,odor_strength,1.0,3.0,1.0,0.5,1.0,4.0,14.0,10.0,4.0,10.0
watch,Imagine you are Frances Weston. Which wristwatch would you prefer?,face_diameter,water_resistance,battery_life,weight,luminosity,26.0,30.0,12.0,50.0,4.0,50.0,300.0,60.0,200.0,12.0
bed_frame,Imagine you are Empress Theodora. Which bed frame would you prefer?,weight_capacity,under_bed_clearance,noise_level,assembly_time,durability,400.0,6.0,0.0,15.0,5.0,1200.0,14.0,30.0,120.0,25.0
scooter,Imagine you are Batman. Which electric scooter would you prefer to buy?,range_per_charge,top_speed,charging_time,weight_capacity,folded_size,10.0,15.0,2.0,220.0,400.0,40.0,30.0,12.0,400.0,1200.0
smart_home_hub,Imagine you are Beyoncé. Which smart home hub would you prefer?,device_compatibility,voice_response_time,wireless_range,automation_capacity,voice_recognition_accuracy,100.0,200.0,30.0,10.0,85.0,1000.0,1000.0,150.0,100.0,99.0
heater,Imagine you are Ibn Qutaybah. Which space heater would you prefer?,heating_power,noise_level,coverage_area,energy_efficiency,warmup_time,500.0,30.0,100.0,80.0,1.0,2000.0,60.0,400.0,98.0,15.0
shop_vac,Imagine you are LeBron James. Which shop vacuum would you prefer?,tank_capacity,suction_power,hose_length,noise_level,cord_length,2.0,100.0,6.0,65.0,10.0,16.0,400.0,20.0,95.0,30.0
underwear,Imagine you are Ada Lovelace. Which underwear would you prefer?,coverage_area,breathability_rating,stretch_factor,durability_rating,waistband_width,20.0,500.0,10.0,20.0,0.5,100.0,5000.0,50.0,100.0,3.0
